date,id,name,odd,supername,hypername
2023-09-01 12:08:34.268157,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-01 12:08:34.268157,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-01 12:08:34.268157,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-01 12:08:34.268157,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-01 12:08:34.268157,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-01 12:08:34.268157,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-01 12:08:34.268157,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-01 12:08:34.268157,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-01 12:08:34.268157,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-01 12:08:34.268157,1843311789,Prachař David,20.0,,Vítěz
2023-09-01 20:07:14.094518,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-01 20:07:14.094518,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-01 20:07:14.094518,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-01 20:07:14.094518,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-01 20:07:14.094518,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-01 20:07:14.094518,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-01 20:07:14.094518,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-01 20:07:14.094518,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-01 20:07:14.094518,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-01 20:07:14.094518,1843311789,Prachař David,20.0,,Vítěz
2023-09-02 04:07:26.006323,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-02 04:07:26.006323,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-02 04:07:26.006323,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-02 04:07:26.006323,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-02 04:07:26.006323,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-02 04:07:26.006323,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-02 04:07:26.006323,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-02 04:07:26.006323,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-02 04:07:26.006323,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-02 04:07:26.006323,1843311789,Prachař David,20.0,,Vítěz
2023-09-02 12:07:32.705346,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-02 12:07:32.705346,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-02 12:07:32.705346,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-02 12:07:32.705346,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-02 12:07:32.705346,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-02 12:07:32.705346,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-02 12:07:32.705346,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-02 12:07:32.705346,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-02 12:07:32.705346,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-02 12:07:32.705346,1843311789,Prachař David,20.0,,Vítěz
2023-09-02 20:07:17.250240,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-02 20:07:17.250240,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-02 20:07:17.250240,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-02 20:07:17.250240,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-02 20:07:17.250240,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-02 20:07:17.250240,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-02 20:07:17.250240,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-02 20:07:17.250240,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-02 20:07:17.250240,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-02 20:07:17.250240,1843311789,Prachař David,20.0,,Vítěz
2023-09-04 20:06:59.626633,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-04 20:06:59.626633,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-04 20:06:59.626633,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-04 20:06:59.626633,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-04 20:06:59.626633,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-04 20:06:59.626633,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-04 20:06:59.626633,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-04 20:06:59.626633,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-04 20:06:59.626633,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-04 20:06:59.626633,1843311789,Prachař David,20.0,,Vítěz
2023-09-05 12:08:39.671409,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-05 12:08:39.671409,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-05 12:08:39.671409,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-05 12:08:39.671409,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-05 12:08:39.671409,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-05 12:08:39.671409,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-05 12:08:39.671409,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-05 12:08:39.671409,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-05 12:08:39.671409,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-05 12:08:39.671409,1843311789,Prachař David,20.0,,Vítěz
2023-09-05 20:07:14.317474,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-05 20:07:14.317474,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-05 20:07:14.317474,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-05 20:07:14.317474,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-05 20:07:14.317474,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-05 20:07:14.317474,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-05 20:07:14.317474,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-05 20:07:14.317474,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-05 20:07:14.317474,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-05 20:07:14.317474,1843311789,Prachař David,20.0,,Vítěz
2023-09-06 04:07:17.793126,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-06 04:07:17.793126,1843311782,Adamczyková Eva,5.0,,Vítěz
2023-09-06 04:07:17.793126,1843311788,Adamczyk Marek,7.0,,Vítěz
2023-09-06 04:07:17.793126,1843311785,Kubelková Iva,7.0,,Vítěz
2023-09-06 04:07:17.793126,1843311786,Mašková Tereza Anna,8.0,,Vítěz
2023-09-06 04:07:17.793126,1843311783,Chýlková Ivana,9.0,,Vítěz
2023-09-06 04:07:17.793126,1843311780,Hradilek Vavřinec,12.0,,Vítěz
2023-09-06 04:07:17.793126,1843311781,Pavlovičová Darija,12.0,,Vítěz
2023-09-06 04:07:17.793126,1843311787,Maršálek Josef,20.0,,Vítěz
2023-09-06 04:07:17.793126,1843311789,Prachař David,20.0,,Vítěz
2023-09-07 04:07:22.518965,1843311784,Krajčo Richard,3.5,,Vítěz
2023-09-07 04:07:22.518965,1843311782,Adamczyková Eva,5.0,,Vítěz
