date,Biden Joe,Buttigieg Pete,Clinton Hillary,DeSantis Ron,Haley Nikki,Harris Kamala,Johnson Dwayne,Newsom Gavin,Obama Michelle,Pence Mike,Pompeo Mike,Sanders Bernie,Sununu Chris,Trump Donald,Warren Elizabeth,West Kanye,Youngkin Glenn
2022-12-26,3.6,23.0,90.0,2.45,35.0,16.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2022-12-27,3.6,23.0,90.0,2.45,35.0,16.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2022-12-28,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2022-12-29,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2022-12-30,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2022-12-31,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2023-01-01,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2023-01-02,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2023-01-03,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2023-01-04,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2023-01-05,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2023-01-06,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2023-01-07,3.6,23.0,90.0,2.45,35.0,17.0,,22.0,35.0,35.0,70.0,85.0,45.0,7.0,75.0,200.0,45.0
2023-01-08,3.65,25.0,90.0,2.45,35.0,17.0,200.0,23.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-09,3.63,25.0,90.0,2.45,35.0,17.0,200.0,23.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-10,3.6,25.0,90.0,2.45,35.0,17.0,200.0,23.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-11,3.6,25.0,90.0,2.45,35.0,17.0,200.0,23.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-12,3.5,27.0,90.0,2.5,33.0,17.0,200.0,22.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-13,3.5,27.0,90.0,2.5,33.0,17.0,200.0,22.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-14,3.5,27.0,90.0,2.5,33.0,17.0,200.0,22.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-15,3.5,27.0,90.0,2.5,33.0,17.0,200.0,22.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-16,3.5,27.0,90.0,2.5,33.0,17.0,200.0,22.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-17,3.5,27.0,90.0,2.5,33.0,17.0,200.0,22.0,35.0,35.0,70.0,85.0,45.0,6.75,75.0,200.0,45.0
2023-01-18,3.5,27.0,90.0,2.525,33.0,17.0,200.0,22.0,35.0,35.0,70.0,85.0,45.0,6.675000000000001,75.0,200.0,45.0
