,box_id,box_name,event_name,match_close,match_id,match_title,race_id,race_name,sport_title
78,b1043452284,"Le Pen Marine, 22.79%",Počet hlasů v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
79,b1043452285,"Macron Emmanuel, 26.33%",Počet hlasů v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
80,b1043452286,"Mélenchon Jean-Luc, 17.11%",Počet hlasů v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
81,b1043452287,"Pécresse Valérie, 8.51%",Počet hlasů v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
82,b1043452288,"Zemmour Éric, 9.13%",Počet hlasů v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
83,b1043755125,,Volební účast v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
84,b1043755126,,Volební účast v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
85,b1043755127,,Volební účast v procentech,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
86,b1043751549,Macron Emmanuel x Le Pen Marine,Kdo získá více hlasů,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
87,b1043751550,Macron Emmanuel x Mélenchon Jean-Luc,Kdo získá více hlasů,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
88,b1043751551,Macron Emmanuel x Zemmour Éric,Kdo získá více hlasů,2022-04-10T08:00:00.000+02:00,94393,Francouzské prezidentské volby 2022,4316623,Francouzské prezidentské volby 2022 - 1.kolo,Politika
