date,Danko Andrej,Fico Robert,Forró Krisztián,Heger Eduard,Kollár Boris,Kotleba Marian,Majerský Milan,Matovič Igor,Pellegrini Peter,Remišová Veronika,Sulík Richard,Uhrík Milan,Šimečka Michal
2023-06-25,400.0,2.8,600.0,150.0,25.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
2023-06-26,400.0,2.7999999999999994,600.0,150.0,25.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
2023-06-27,400.0,2.8,600.0,150.0,25.0,600.0,250.0,60.0,2.9,500.0,60.0,200.0,2.5
2023-06-30,400.0,2.95,600.0,150.0,30.0,600.0,250.0,75.0,2.7,500.0,75.0,200.0,2.65
2023-07-01,400.0,2.975,600.0,150.0,30.0,600.0,250.0,75.0,2.6500000000000004,500.0,75.0,200.0,2.7
2023-07-02,400.0,3.0,600.0,150.0,30.0,600.0,250.0,75.0,2.6,500.0,75.0,200.0,2.75
2023-07-03,400.0,3.0,600.0,150.0,30.0,600.0,250.0,75.0,2.6,500.0,75.0,200.0,2.75
2023-07-04,400.0,3.0,600.0,150.0,30.0,600.0,250.0,75.0,2.6,500.0,75.0,200.0,2.75
2023-07-05,400.0,3.0,600.0,150.0,30.0,600.0,250.0,75.0,2.6,500.0,75.0,200.0,2.75
2023-07-06,400.0,3.0,600.0,150.0,30.0,600.0,250.0,75.0,2.5,500.0,75.0,200.0,2.7999999999999994
2023-07-07,400.0,3.0,600.0,150.0,30.0,600.0,250.0,75.0,2.5,500.0,75.0,200.0,2.8
2023-07-08,400.0,3.0,600.0,150.0,35.0,600.0,250.0,80.0,2.5,500.0,80.0,200.0,2.8
2023-07-09,400.0,3.0,600.0,150.0,35.0,600.0,250.0,80.0,2.5,500.0,80.0,200.0,2.8
2023-07-10,400.0,3.0,600.0,150.0,35.0,600.0,250.0,80.0,2.5,500.0,80.0,200.0,2.8
2023-07-11,400.0,3.0,600.0,150.0,35.0,600.0,250.0,80.0,2.5,500.0,80.0,200.0,2.8
2023-07-12,400.0,3.0,600.0,150.0,35.0,600.0,250.0,80.0,2.5,500.0,80.0,200.0,2.8
2023-07-13,400.0,3.0,600.0,150.0,40.0,600.0,250.0,80.0,2.45,500.0,85.0,200.0,2.9
2023-07-14,400.0,2.9,650.0,180.0,45.0,650.0,300.0,80.0,2.6,550.0,95.0,250.0,2.9
2023-07-15,400.0,2.9,650.0,182.5,45.0,650.0,300.0,82.5,2.6,550.0,97.5,250.0,2.9
2023-07-16,400.0,2.9,650.0,185.0,45.0,650.0,300.0,85.0,2.6,550.0,100.0,250.0,2.9
2023-07-17,400.0,2.85,650.0,185.0,45.0,650.0,300.0,85.0,2.65,550.0,100.0,250.0,2.9
2023-07-18,400.0,2.85,650.0,185.0,45.0,650.0,300.0,85.0,2.65,550.0,100.0,250.0,2.9
2023-07-19,400.0,2.85,650.0,185.0,45.0,650.0,300.0,85.0,2.65,550.0,100.0,250.0,2.9
2023-07-20,400.0,2.85,650.0,185.0,45.0,650.0,300.0,85.0,2.65,550.0,100.0,250.0,2.9
2023-07-21,400.0,2.85,650.0,185.0,45.0,650.0,300.0,85.0,2.65,550.0,100.0,250.0,2.9
2023-07-22,400.0,2.825,650.0,185.0,50.0,650.0,300.0,85.0,2.825,550.0,100.0,250.0,2.9
2023-07-23,400.0,2.8,750.0,185.0,60.0,800.0,350.0,90.0,3.0,600.0,120.0,300.0,2.9
2023-07-24,400.0,2.8,750.0,185.0,60.0,800.0,350.0,90.0,3.0,600.0,120.0,300.0,2.9
2023-07-25,400.0,2.7999999999999994,750.0,185.0,60.0,800.0,350.0,90.0,3.0,600.0,120.0,300.0,2.9
2023-07-26,400.0,2.8,750.0,185.0,60.0,800.0,350.0,90.0,3.0,600.0,120.0,300.0,2.9
2023-07-27,400.0,2.8,750.0,200.0,65.0,800.0,350.0,110.0,3.0,600.0,150.0,300.0,2.9
2023-07-28,400.0,2.8,750.0,200.0,65.0,800.0,350.0,110.0,3.0,600.0,150.0,300.0,2.9
2023-07-29,400.0,2.8,750.0,200.0,65.0,800.0,350.0,110.0,3.0,600.0,150.0,300.0,2.9
2023-07-30,400.0,2.8,750.0,200.0,65.0,800.0,350.0,110.0,3.0,600.0,150.0,300.0,2.9
2023-07-31,400.0,2.8,750.0,200.0,65.0,800.0,350.0,110.0,3.0,600.0,150.0,300.0,2.9
2023-08-01,400.0,2.75,850.0,200.0,70.0,900.0,400.0,110.0,3.0,600.0,165.0,300.0,2.9
2023-08-02,400.0,2.75,850.0,200.0,70.0,900.0,400.0,110.0,3.0,600.0,165.0,300.0,2.9
2023-08-03,400.0,2.75,850.0,200.0,70.0,900.0,400.0,110.0,3.0,600.0,165.0,300.0,2.9
2023-08-04,350.0,2.65,950.0,250.0,80.0,1000.0,450.0,110.0,3.0,750.0,180.0,300.0,2.9
2023-08-05,350.0,2.65,950.0,250.0,80.0,1000.0,450.0,110.0,3.0,750.0,180.0,300.0,2.9
2023-08-06,350.0,2.65,950.0,250.0,80.0,1000.0,450.0,110.0,3.0,750.0,180.0,300.0,2.9
2023-08-07,350.0,2.45,1000.0,300.0,90.0,1100.0,500.0,111.0,3.15,800.0,200.0,350.0,3.0
2023-08-09,350.0,2.325,1000.0,350.0,162.5,1100.0,500.0,111.0,3.45,850.0,250.0,350.0,3.0
2023-08-10,350.0,2.2666666666666666,1000.0,350.0,175.0,1100.0,500.0,111.0,3.5666666666666664,850.0,250.0,350.0,3.0
2023-08-11,350.0,2.2,1000.0,350.0,200.0,1100.0,500.0,111.0,3.75,850.0,250.0,350.0,3.05
2023-08-12,350.0,2.2,1000.0,350.0,200.0,1100.0,500.0,111.0,3.75,850.0,250.0,350.0,3.0499999999999994
2023-08-13,350.0,2.2,1000.0,350.0,200.0,1100.0,500.0,111.0,3.75,850.0,250.0,350.0,3.0499999999999994
2023-08-14,350.0,2.2,1000.0,350.0,230.0,1100.0,500.0,111.0,4.0,900.0,250.0,350.0,2.8
2023-08-15,350.0,2.2,1000.0,350.0,230.0,1100.0,500.0,111.0,4.0,900.0,250.0,350.0,2.8
2023-08-16,350.0,2.2,1000.0,350.0,230.0,1100.0,500.0,105.0,4.0,900.0,250.0,350.0,2.85
2023-08-18,350.0,2.2,1100.0,400.0,260.0,1200.0,600.0,110.0,4.05,1000.0,275.0,400.0,2.8
2023-08-19,350.0,2.2,1100.0,400.0,260.0,1200.0,600.0,110.0,4.1,1000.0,275.0,400.0,2.675
2023-08-21,350.0,2.2,1100.0,400.0,260.0,1200.0,600.0,110.0,4.1,1000.0,275.0,400.0,2.65
2023-08-22,350.0,2.2,1100.0,400.0,260.0,1200.0,600.0,110.0,4.1,1000.0,275.0,400.0,2.65
2023-08-23,350.0,2.2,1100.0,400.0,260.0,1200.0,600.0,110.0,4.1,1000.0,275.0,400.0,2.65
2023-08-24,350.0,2.1,1100.0,400.0,275.0,1200.0,600.0,115.0,4.1,1000.0,285.0,450.0,2.85
2023-08-27,350.0,2.2,1100.0,450.0,350.0,1200.0,600.0,135.0,3.7,1000.0,300.0,500.0,3.0
2023-08-28,350.0,2.2,1100.0,450.0,350.0,1200.0,600.0,135.0,3.7,1000.0,300.0,500.0,3.0
2023-08-29,350.0,2.2,1100.0,450.0,350.0,1200.0,600.0,135.0,3.7,1000.0,300.0,500.0,3.0
2023-08-30,350.0,2.2,1100.0,450.0,350.0,1200.0,600.0,135.0,3.7000000000000006,1000.0,300.0,500.0,3.0
2023-08-31,350.0,2.2,1100.0,450.0,350.0,1200.0,600.0,180.0,3.6,1000.0,300.0,500.0,2.95
2023-09-01,350.0,2.225,1100.0,450.0,350.0,1200.0,600.0,180.0,3.625,1000.0,300.0,500.0,2.9000000000000004
2023-09-02,350.0,2.2666666666666666,1100.0,450.0,350.0,1200.0,600.0,193.33333333333334,3.6833333333333336,1000.0,300.0,500.0,2.8166666666666664
2023-09-04,350.0,2.3,1100.0,450.0,350.0,1200.0,600.0,200.0,3.75,1000.0,300.0,500.0,2.75
2023-09-05,350.0,2.3,1100.0,450.0,350.0,1200.0,600.0,200.0,3.75,1000.0,300.0,450.0,2.75
2023-09-06,350.0,2.3,1100.0,450.0,350.0,1200.0,600.0,200.0,3.75,1000.0,300.0,400.0,2.75
2023-09-07,350.0,2.3,1100.0,450.0,350.0,1200.0,600.0,200.0,3.75,1000.0,300.0,400.0,2.75
2023-09-08,350.0,2.3,1100.0,450.0,350.0,1200.0,600.0,200.0,3.75,1000.0,300.0,400.0,2.75
2023-09-09,350.0,2.3,1100.0,450.0,350.0,1200.0,600.0,200.0,3.75,1000.0,300.0,400.0,2.75
